,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
0,BP_06,PUBLISHED,1976,EMR,AFG,YEARS18-PLUS,MLE,121.2 [111.2-131.0],121.2,111.2,131.0,
1,BP_06,PUBLISHED,1992,EUR,ALB,YEARS18-PLUS,MLE,131.2 [125.6-136.6],131.2,125.6,136.6,
2,BP_06,PUBLISHED,1987,AFR,DZA,YEARS18-PLUS,MLE,127.4 [121.5-133.5],127.4,121.5,133.5,
3,BP_06,PUBLISHED,2003,AFR,DZA,YEARS18-PLUS,MLE,127.5 [122.7-132.3],127.5,122.7,132.3,
4,BP_06,PUBLISHED,1983,EUR,ARM,YEARS18-PLUS,MLE,131.8 [124.6-138.7],131.8,124.6,138.7,
5,BP_06,PUBLISHED,2008,WPR,AUS,YEARS18-PLUS,MLE,125.8 [123.4-128.2],125.8,123.4,128.2,
6,BP_06,PUBLISHED,2011,EUR,BLR,YEARS18-PLUS,MLE,134.7 [127.8-141.7],134.7,127.8,141.7,
7,BP_06,PUBLISHED,1982,AMR,BLZ,YEARS18-PLUS,MLE,126.4 [119.6-132.9],126.4,119.6,132.9,
8,BP_06,PUBLISHED,2007,EUR,AZE,YEARS18-PLUS,MLE,129.3 [124.8-133.8],129.3,124.8,133.8,
9,BP_06,PUBLISHED,2014,SEAR,BTN,YEARS18-PLUS,MLE,127.8 [123.2-132.7],127.8,123.2,132.7,
10,BP_06,PUBLISHED,1985,AMR,BOL,YEARS18-PLUS,MLE,124.3 [117.4-131.1],124.3,117.4,131.1,
11,BP_06,PUBLISHED,1999,AMR,BOL,YEARS18-PLUS,MLE,123.4 [117.4-129.4],123.4,117.4,129.4,
12,BP_06,PUBLISHED,1977,EUR,BGR,YEARS18-PLUS,MLE,133.7 [126.9-140.4],133.7,126.9,140.4,
13,BP_06,PUBLISHED,1976,AFR,BWA,YEARS18-PLUS,MLE,129.3 [120.9-138.1],129.3,120.9,138.1,
14,BP_06,PUBLISHED,2007,AMR,CAN,YEARS18-PLUS,MLE,121.8 [118.2-125.2],121.8,118.2,125.2,
15,BP_06,PUBLISHED,2000,AFR,TCD,YEARS18-PLUS,MLE,131.0 [125.1-136.9],131.0,125.1,136.9,
16,BP_06,PUBLISHED,1975,AFR,CMR,YEARS18-PLUS,MLE,128.9 [119.7-138.1],128.9,119.7,138.1,
17,BP_06,PUBLISHED,2001,AMR,CAN,YEARS18-PLUS,MLE,124.2 [120.8-127.6],124.2,120.8,127.6,
18,BP_06,PUBLISHED,1978,AMR,COL,YEARS18-PLUS,MLE,126.6 [119.7-133.4],126.6,119.7,133.4,
19,BP_06,PUBLISHED,2004,AMR,COL,YEARS18-PLUS,MLE,124.8 [121.5-128.2],124.8,121.5,128.2,
20,BP_06,PUBLISHED,2004,AFR,COG,YEARS18-PLUS,MLE,131.0 [125.2-136.7],131.0,125.2,136.7,
21,BP_06,PUBLISHED,1993,EUR,CZE,YEARS18-PLUS,MLE,132.0 [129.1-134.8],132.0,129.1,134.8,
22,BP_06,PUBLISHED,2009,EUR,CZE,YEARS18-PLUS,MLE,131.4 [127.6-135.0],131.4,127.6,135.0,
23,BP_06,PUBLISHED,1994,EMR,DJI,YEARS18-PLUS,MLE,130.9 [123.4-138.1],130.9,123.4,138.1,
24,BP_06,PUBLISHED,2007,AFR,COG,YEARS18-PLUS,MLE,130.9 [125.0-136.6],130.9,125.0,136.6,
25,BP_06,PUBLISHED,1984,AMR,CRI,YEARS18-PLUS,MLE,126.7 [120.9-132.5],126.7,120.9,132.5,
26,BP_06,PUBLISHED,1997,AFR,COD,YEARS18-PLUS,MLE,129.5 [123.8-135.2],129.5,123.8,135.2,
27,BP_06,PUBLISHED,2008,AMR,SLV,YEARS18-PLUS,MLE,123.8 [118.4-129.4],123.8,118.4,129.4,
28,BP_06,PUBLISHED,1979,AFR,ERI,YEARS18-PLUS,MLE,122.5 [115.4-129.9],122.5,115.4,129.9,
29,BP_06,PUBLISHED,2012,EUR,EST,YEARS18-PLUS,MLE,134.4 [131.7-137.0],134.4,131.7,137.0,
30,BP_06,PUBLISHED,2007,EUR,ALB,YEARS18-PLUS,MLE,134.2 [129.9-138.4],134.2,129.9,138.4,
31,BP_06,PUBLISHED,1997,AFR,DZA,YEARS18-PLUS,MLE,127.5 [122.1-132.8],127.5,122.1,132.8,
32,BP_06,PUBLISHED,1995,EMR,AFG,YEARS18-PLUS,MLE,123.9 [116.5-131.2],123.9,116.5,131.2,
33,BP_06,PUBLISHED,1998,EUR,AND,YEARS18-PLUS,MLE,129.9 [123.1-136.5],129.9,123.1,136.5,
34,BP_06,PUBLISHED,2000,EUR,AND,YEARS18-PLUS,MLE,129.6 [122.8-136.1],129.6,122.8,136.1,
35,BP_06,PUBLISHED,2015,EUR,AZE,YEARS18-PLUS,MLE,130.3 [123.3-137.4],130.3,123.3,137.4,
36,BP_06,PUBLISHED,1988,AMR,BHS,YEARS18-PLUS,MLE,130.2 [123.0-137.1],130.2,123.0,137.1,
37,BP_06,PUBLISHED,2003,EUR,AUT,YEARS18-PLUS,MLE,130.3 [126.7-133.9],130.3,126.7,133.9,
38,BP_06,PUBLISHED,2007,EUR,BLR,YEARS18-PLUS,MLE,134.5 [128.3-140.7],134.5,128.3,140.7,
39,BP_06,PUBLISHED,1991,EUR,BEL,YEARS18-PLUS,MLE,131.4 [129.2-133.8],131.4,129.2,133.8,
40,BP_06,PUBLISHED,1977,AMR,BLZ,YEARS18-PLUS,MLE,126.5 [118.1-134.7],126.5,118.1,134.7,
41,BP_06,PUBLISHED,2009,AFR,BEN,YEARS18-PLUS,MLE,129.5 [125.9-133.1],129.5,125.9,133.1,
42,BP_06,PUBLISHED,1987,SEAR,BTN,YEARS18-PLUS,MLE,123.1 [116.5-129.7],123.1,116.5,129.7,
43,BP_06,PUBLISHED,2012,AFR,BWA,YEARS18-PLUS,MLE,132.3 [128.3-136.3],132.3,128.3,136.3,
44,BP_06,PUBLISHED,2008,AMR,BRA,YEARS18-PLUS,MLE,132.0 [129.8-134.2],132.0,129.8,134.2,
45,BP_06,PUBLISHED,1985,AFR,BDI,YEARS18-PLUS,MLE,124.9 [116.8-133.1],124.9,116.8,133.1,
46,BP_06,PUBLISHED,2002,AFR,BDI,YEARS18-PLUS,MLE,127.9 [120.7-135.3],127.9,120.7,135.3,
47,BP_06,PUBLISHED,2004,AFR,CPV,YEARS18-PLUS,MLE,136.0 [131.2-140.8],136.0,131.2,140.8,
48,BP_06,PUBLISHED,1979,AFR,CMR,YEARS18-PLUS,MLE,129.1 [122.1-136.3],129.1,122.1,136.3,
49,BP_06,PUBLISHED,2012,AMR,CAN,YEARS18-PLUS,MLE,119.7 [114.6-124.4],119.7,114.6,124.4,
50,BP_06,PUBLISHED,1975,WPR,CHN,YEARS18-PLUS,MLE,121.5 [116.0-126.9],121.5,116.0,126.9,
51,BP_06,PUBLISHED,1981,WPR,CHN,YEARS18-PLUS,MLE,121.8 [119.0-124.6],121.8,119.0,124.6,
52,BP_06,PUBLISHED,1994,AFR,COM,YEARS18-PLUS,MLE,128.0 [121.8-134.1],128.0,121.8,134.1,
53,BP_06,PUBLISHED,1978,AMR,CRI,YEARS18-PLUS,MLE,126.0 [118.9-133.6],126.0,118.9,133.6,
54,BP_06,PUBLISHED,2011,AFR,CIV,YEARS18-PLUS,MLE,133.3 [128.4-138.3],133.3,128.4,138.3,
55,BP_06,PUBLISHED,1998,AMR,CUB,YEARS18-PLUS,MLE,125.6 [120.9-130.6],125.6,120.9,130.6,
56,BP_06,PUBLISHED,1998,EUR,CZE,YEARS18-PLUS,MLE,131.2 [128.3-133.9],131.2,128.3,133.9,
57,BP_06,PUBLISHED,1993,EUR,DNK,YEARS18-PLUS,MLE,132.8 [130.1-135.5],132.8,130.1,135.5,
58,BP_06,PUBLISHED,1984,AMR,DMA,YEARS18-PLUS,MLE,130.1 [124.1-136.2],130.1,124.1,136.2,
59,BP_06,PUBLISHED,1980,EMR,EGY,YEARS18-PLUS,MLE,127.3 [120.5-133.4],127.3,120.5,133.4,
60,BP_06,PUBLISHED,1988,AMR,SLV,YEARS18-PLUS,MLE,123.9 [117.7-130.1],123.9,117.7,130.1,
61,BP_06,PUBLISHED,2015,AFR,ERI,YEARS18-PLUS,MLE,124.5 [118.5-130.8],124.5,118.5,130.8,
62,BP_06,PUBLISHED,1992,EUR,EST,YEARS18-PLUS,MLE,133.5 [130.2-136.8],133.5,130.2,136.8,
63,BP_06,PUBLISHED,2001,AFR,ETH,YEARS18-PLUS,MLE,125.9 [121.5-130.3],125.9,121.5,130.3,
64,BP_06,PUBLISHED,2004,EMR,AFG,YEARS18-PLUS,MLE,125.5 [118.6-132.4],125.5,118.6,132.4,
65,BP_06,PUBLISHED,1982,AFR,DZA,YEARS18-PLUS,MLE,127.1 [120.4-133.9],127.1,120.4,133.9,
66,BP_06,PUBLISHED,1983,EUR,AND,YEARS18-PLUS,MLE,132.4 [125.4-139.4],132.4,125.4,139.4,
67,BP_06,PUBLISHED,2004,EUR,ARM,YEARS18-PLUS,MLE,131.6 [126.6-136.5],131.6,126.6,136.5,
68,BP_06,PUBLISHED,1996,WPR,AUS,YEARS18-PLUS,MLE,129.1 [126.9-131.2],129.1,126.9,131.2,
69,BP_06,PUBLISHED,1999,AMR,BHS,YEARS18-PLUS,MLE,129.1 [122.3-135.9],129.1,122.3,135.9,
70,BP_06,PUBLISHED,1981,EMR,BHR,YEARS18-PLUS,MLE,130.1 [122.5-137.6],130.1,122.5,137.6,
71,BP_06,PUBLISHED,2014,SEAR,BGD,YEARS18-PLUS,MLE,119.7 [115.3-124.2],119.7,115.3,124.2,
72,BP_06,PUBLISHED,1985,EUR,BLR,YEARS18-PLUS,MLE,135.9 [130.2-141.7],135.9,130.2,141.7,
73,BP_06,PUBLISHED,1984,AMR,BLZ,YEARS18-PLUS,MLE,126.3 [119.9-132.5],126.3,119.9,132.5,
74,BP_06,PUBLISHED,1995,AMR,BLZ,YEARS18-PLUS,MLE,125.3 [119.7-130.8],125.3,119.7,130.8,
75,BP_06,PUBLISHED,1978,SEAR,BTN,YEARS18-PLUS,MLE,121.9 [113.8-129.8],121.9,113.8,129.8,
76,BP_06,PUBLISHED,2006,AMR,BOL,YEARS18-PLUS,MLE,123.5 [117.9-129.2],123.5,117.9,129.2,
77,BP_06,PUBLISHED,1989,WPR,BRN,YEARS18-PLUS,MLE,126.7 [119.4-134.2],126.7,119.4,134.2,
78,BP_06,PUBLISHED,1999,EUR,BGR,YEARS18-PLUS,MLE,133.6 [128.2-139.2],133.6,128.2,139.2,
79,BP_06,PUBLISHED,2013,AFR,CMR,YEARS18-PLUS,MLE,130.3 [124.4-136.3],130.3,124.4,136.3,
80,BP_06,PUBLISHED,2014,AMR,CAN,YEARS18-PLUS,MLE,118.8 [112.7-124.4],118.8,112.7,124.4,
81,BP_06,PUBLISHED,2013,AFR,TCD,YEARS18-PLUS,MLE,130.8 [124.2-137.4],130.8,124.2,137.4,
82,BP_06,PUBLISHED,2000,AMR,CHL,YEARS18-PLUS,MLE,128.2 [124.6-131.7],128.2,124.6,131.7,
83,BP_06,PUBLISHED,2003,WPR,COK,YEARS18-PLUS,MLE,132.6 [127.9-137.1],132.6,127.9,137.1,
84,BP_06,PUBLISHED,2002,AFR,CIV,YEARS18-PLUS,MLE,133.7 [129.7-137.8],133.7,129.7,137.8,
85,BP_06,PUBLISHED,2007,AMR,CUB,YEARS18-PLUS,MLE,123.9 [120.1-127.8],123.9,120.1,127.8,
