,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,RESIDENCEAREATYPE,Display Value,Numeric,Low,High,Comments
0,FINPROTECTION_CATA_TOT_10_POP,FPAFG2007,PUBLISHED,2007,EMR,AFG,RUR,5.53,5.53,,,
1,FINPROTECTION_CATA_TOT_10_POP,FPAFG2013,PUBLISHED,2013,EMR,AFG,TOTL,14.63,14.63,,,
2,FINPROTECTION_CATA_TOT_10_POP,FPAFG2013,PUBLISHED,2013,EMR,AFG,URB,11.11,11.11,,,
3,FINPROTECTION_CATA_TOT_10_POP,FPAGO2008,PUBLISHED,2008,AFR,AGO,RUR,12.81,12.81,,,
4,FINPROTECTION_CATA_TOT_10_POP,FPALB1996,PUBLISHED,1996,EUR,ALB,TOTL,7.39,7.39,,,
5,FINPROTECTION_CATA_TOT_10_POP,FPALB1996,PUBLISHED,1996,EUR,ALB,URB,6.9,6.9,,,
6,FINPROTECTION_CATA_TOT_10_POP,FPALB2002,PUBLISHED,2002,EUR,ALB,RUR,27.96,27.96,,,
7,FINPROTECTION_CATA_TOT_10_POP,FPALB2005,PUBLISHED,2005,EUR,ALB,TOTL,19.51,19.51,,,
8,FINPROTECTION_CATA_TOT_10_POP,FPARG2004,PUBLISHED,2004,AMR,ARG,RUR,11.34,11.34,,,
9,FINPROTECTION_CATA_TOT_10_POP,FPARM1999,PUBLISHED,1999,EUR,ARM,TOTL,15.35,15.35,,,
10,FINPROTECTION_CATA_TOT_10_POP,FPARM1999,PUBLISHED,1999,EUR,ARM,URB,15.33,15.33,,,
11,FINPROTECTION_CATA_TOT_10_POP,FPARM2001,PUBLISHED,2001,EUR,ARM,RUR,10.15,10.15,,,
12,FINPROTECTION_CATA_TOT_10_POP,FPARM2002,PUBLISHED,2002,EUR,ARM,TOTL,11.47,11.47,,,
13,FINPROTECTION_CATA_TOT_10_POP,FPARM2007,PUBLISHED,2007,EUR,ARM,URB,4.14,4.14,,,
14,FINPROTECTION_CATA_TOT_10_POP,FPARM2008,PUBLISHED,2008,EUR,ARM,RUR,4.58,4.58,,,
15,FINPROTECTION_CATA_TOT_10_POP,FPARM2009,PUBLISHED,2009,EUR,ARM,TOTL,4.43,4.43,,,
16,FINPROTECTION_CATA_TOT_10_POP,FPARM2009,PUBLISHED,2009,EUR,ARM,URB,4.69,4.69,,,
17,FINPROTECTION_CATA_TOT_10_POP,FPARM2010,PUBLISHED,2010,EUR,ARM,RUR,4.27,4.27,,,
18,FINPROTECTION_CATA_TOT_10_POP,FPARM2011,PUBLISHED,2011,EUR,ARM,TOTL,12.8,12.8,,,
19,FINPROTECTION_CATA_TOT_10_POP,FPAZE2002,PUBLISHED,2002,EUR,AZE,TOTL,6.97,6.97,,,
20,FINPROTECTION_CATA_TOT_10_POP,FPAZE2002,PUBLISHED,2002,EUR,AZE,URB,7.14,7.14,,,
21,FINPROTECTION_CATA_TOT_10_POP,FPAZE2003,PUBLISHED,2003,EUR,AZE,RUR,7.32,7.32,,,
22,FINPROTECTION_CATA_TOT_10_POP,FPAZE2004,PUBLISHED,2004,EUR,AZE,TOTL,7.63,7.63,,,
23,FINPROTECTION_CATA_TOT_10_POP,FPBEL2010,PUBLISHED,2010,EUR,BEL,RUR,11.57,11.57,,,
24,FINPROTECTION_CATA_TOT_10_POP,FPBEN2003,PUBLISHED,2003,AFR,BEN,TOTL,11.11,11.11,,,
25,FINPROTECTION_CATA_TOT_10_POP,FPBEN2003,PUBLISHED,2003,AFR,BEN,URB,10.26,10.26,,,
26,FINPROTECTION_CATA_TOT_10_POP,FPBEN2011,PUBLISHED,2011,AFR,BEN,RUR,12.28,12.28,,,
27,FINPROTECTION_CATA_TOT_10_POP,FPBFA1998,PUBLISHED,1998,AFR,BFA,TOTL,10.98,10.98,,,
28,FINPROTECTION_CATA_TOT_10_POP,FPBFA2014,PUBLISHED,2014,AFR,BFA,URB,4.16,4.16,,,
