,GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display Value,Numeric,Low,High,Comments
0,GHED_CHEGDP_SHA2011,PUBLISHED,2006,EMR,WB_LI,AFG,10.6,10.62277,,,
1,GHED_CHEGDP_SHA2011,PUBLISHED,2008,EMR,WB_LI,AFG,10.3,10.2565,,,
2,GHED_CHEGDP_SHA2011,PUBLISHED,2013,EMR,WB_LI,AFG,8.8,8.80594,,,
3,GHED_CHEGDP_SHA2011,PUBLISHED,2015,EMR,WB_LI,AFG,10.1,10.10535,,,
4,GHED_CHEGDP_SHA2011,PUBLISHED,2004,AFR,WB_UMI,DZA,3.5,3.5440699999999996,,,
5,GHED_CHEGDP_SHA2011,PUBLISHED,2006,AFR,WB_UMI,DZA,3.4,3.3551,,,
6,GHED_CHEGDP_SHA2011,PUBLISHED,2013,AFR,WB_UMI,DZA,6.0,6.03576,,,
7,GHED_CHEGDP_SHA2011,PUBLISHED,2015,AFR,WB_UMI,DZA,7.0,6.97848,,,
8,GHED_CHEGDP_SHA2011,PUBLISHED,2002,EUR,WB_HI,AND,9.1,9.11928,,,
9,GHED_CHEGDP_SHA2011,PUBLISHED,2004,EUR,WB_HI,AND,8.2,8.21054,,,
10,GHED_CHEGDP_SHA2011,PUBLISHED,2011,EUR,WB_HI,AND,9.8,9.765889999999999,,,
11,GHED_CHEGDP_SHA2011,PUBLISHED,2013,EUR,WB_HI,AND,10.1,10.112110000000001,,,
12,GHED_CHEGDP_SHA2011,PUBLISHED,2002,AFR,WB_LMI,AGO,3.3,3.3294599999999996,,,
13,GHED_CHEGDP_SHA2011,PUBLISHED,2004,AFR,WB_LMI,AGO,4.0,3.9672,,,
14,GHED_CHEGDP_SHA2011,PUBLISHED,2009,AFR,WB_LMI,AGO,3.8,3.8426099999999996,,,
15,GHED_CHEGDP_SHA2011,PUBLISHED,2011,AFR,WB_LMI,AGO,2.6,2.64561,,,
16,GHED_CHEGDP_SHA2011,PUBLISHED,2013,AFR,WB_LMI,AGO,2.7,2.73283,,,
17,GHED_CHEGDP_SHA2011,PUBLISHED,2000,AMR,WB_HI,ATG,4.5,4.4807,,,
18,GHED_CHEGDP_SHA2011,PUBLISHED,2002,AMR,WB_HI,ATG,5.4,5.42647,,,
19,GHED_CHEGDP_SHA2011,PUBLISHED,2009,AMR,WB_HI,ATG,4.4,4.39794,,,
20,GHED_CHEGDP_SHA2011,PUBLISHED,2011,AMR,WB_HI,ATG,5.3,5.2960199999999995,,,
21,GHED_CHEGDP_SHA2011,PUBLISHED,2016,AMR,WB_HI,ATG,4.4,4.3573,,,
22,GHED_CHEGDP_SHA2011,PUBLISHED,2000,AMR,WB_HI,ARG,8.5,8.46696,,,
23,GHED_CHEGDP_SHA2011,PUBLISHED,2002,AMR,WB_HI,ARG,7.6,7.6467,,,
24,GHED_CHEGDP_SHA2011,PUBLISHED,2007,AMR,WB_HI,ARG,7.6,7.611110000000001,,,
25,GHED_CHEGDP_SHA2011,PUBLISHED,2009,AMR,WB_HI,ARG,9.0,9.01046,,,
26,GHED_CHEGDP_SHA2011,PUBLISHED,2016,AMR,WB_HI,ARG,7.5,7.5444,,,
27,GHED_CHEGDP_SHA2011,PUBLISHED,2000,EUR,WB_UMI,ARM,4.2,4.1958,,,
28,GHED_CHEGDP_SHA2011,PUBLISHED,2005,EUR,WB_UMI,ARM,5.9,5.86188,,,
29,GHED_CHEGDP_SHA2011,PUBLISHED,2007,EUR,WB_UMI,ARM,5.5,5.49815,,,
30,GHED_CHEGDP_SHA2011,PUBLISHED,2009,EUR,WB_UMI,ARM,8.4,8.44378,,,
31,GHED_CHEGDP_SHA2011,PUBLISHED,2014,EUR,WB_UMI,ARM,10.2,10.17827,,,
32,GHED_CHEGDP_SHA2011,PUBLISHED,2016,EUR,WB_UMI,ARM,10.0,9.95197,,,
33,GHED_CHEGDP_SHA2011,PUBLISHED,2005,WPR,WB_HI,AUS,8.0,7.99012,,,
34,GHED_CHEGDP_SHA2011,PUBLISHED,2007,WPR,WB_HI,AUS,8.1,8.06758,,,
35,GHED_CHEGDP_SHA2011,PUBLISHED,2014,WPR,WB_HI,AUS,9.0,9.038030000000001,,,
36,GHED_CHEGDP_SHA2011,PUBLISHED,2016,WPR,WB_HI,AUS,9.2,9.19608,,,
37,GHED_CHEGDP_SHA2011,PUBLISHED,2003,EUR,WB_HI,AUT,9.5,9.547239999999999,,,
38,GHED_CHEGDP_SHA2011,PUBLISHED,2005,EUR,WB_HI,AUT,9.6,9.62703,,,
39,GHED_CHEGDP_SHA2011,PUBLISHED,2012,EUR,WB_HI,AUT,10.2,10.199160000000001,,,
40,GHED_CHEGDP_SHA2011,PUBLISHED,2014,EUR,WB_HI,AUT,10.4,10.368089999999999,,,
41,GHED_CHEGDP_SHA2011,PUBLISHED,2003,EUR,WB_UMI,AZE,5.9,5.94567,,,
42,GHED_CHEGDP_SHA2011,PUBLISHED,2005,EUR,WB_UMI,AZE,7.4,7.43525,,,
43,GHED_CHEGDP_SHA2011,PUBLISHED,2010,EUR,WB_UMI,AZE,4.8,4.76776,,,
44,GHED_CHEGDP_SHA2011,PUBLISHED,2012,EUR,WB_UMI,AZE,4.9,4.90177,,,
45,GHED_CHEGDP_SHA2011,PUBLISHED,2001,AMR,WB_HI,BHS,4.0,4.012490000000001,,,
46,GHED_CHEGDP_SHA2011,PUBLISHED,2003,AMR,WB_HI,BHS,4.4,4.35631,,,
47,GHED_CHEGDP_SHA2011,PUBLISHED,2010,AMR,WB_HI,BHS,5.9,5.92425,,,
48,GHED_CHEGDP_SHA2011,PUBLISHED,2012,AMR,WB_HI,BHS,6.0,6.047680000000001,,,
49,GHED_CHEGDP_SHA2011,PUBLISHED,2017,AMR,WB_HI,BHS,5.8,5.75889,,,
50,GHED_CHEGDP_SHA2011,PUBLISHED,2001,EMR,WB_HI,BHR,3.7,3.6810400000000003,,,
51,GHED_CHEGDP_SHA2011,PUBLISHED,2008,EMR,WB_HI,BHR,3.3,3.2851,,,
52,GHED_CHEGDP_SHA2011,PUBLISHED,2010,EMR,WB_HI,BHR,3.8,3.84291,,,
53,GHED_CHEGDP_SHA2011,PUBLISHED,2017,EMR,WB_HI,BHR,4.7,4.7481,,,
54,GHED_CHEGDP_SHA2011,PUBLISHED,2001,SEAR,WB_LMI,BGD,2.0,1.9867400000000002,,,
55,GHED_CHEGDP_SHA2011,PUBLISHED,2006,SEAR,WB_LMI,BGD,2.3,2.3220099999999997,,,
56,GHED_CHEGDP_SHA2011,PUBLISHED,2008,SEAR,WB_LMI,BGD,2.3,2.34596,,,
57,GHED_CHEGDP_SHA2011,PUBLISHED,2015,SEAR,WB_LMI,BGD,2.5,2.46311,,,
58,GHED_CHEGDP_SHA2011,PUBLISHED,2017,SEAR,WB_LMI,BGD,2.3,2.27425,,,
59,GHED_CHEGDP_SHA2011,PUBLISHED,2006,AMR,WB_HI,BRB,6.6,6.583239999999999,,,
60,GHED_CHEGDP_SHA2011,PUBLISHED,2008,AMR,WB_HI,BRB,6.5,6.47676,,,
61,GHED_CHEGDP_SHA2011,PUBLISHED,2013,AMR,WB_HI,BRB,7.6,7.599360000000001,,,
62,GHED_CHEGDP_SHA2011,PUBLISHED,2015,AMR,WB_HI,BRB,7.0,6.96714,,,
63,GHED_CHEGDP_SHA2011,PUBLISHED,2004,EUR,WB_UMI,BLR,5.9,5.9322,,,
