,GHO,PUBLISHSTATE,YEAR,REGION,WORLDBANKINCOMEGROUP,COUNTRY,Display Value,Numeric,Low,High,Comments
0,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2002,EMR,WB_LI,AFG,79.8,79.751,,,
1,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2003,EMR,WB_LI,AFG,80.9,80.91998000000001,,,
2,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2004,EMR,WB_LI,AFG,87.7,87.67627,,,
3,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2005,EMR,WB_LI,AFG,98.6,98.61208,,,
4,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2006,EMR,WB_LI,AFG,111.3,111.27147,,,
5,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2007,EMR,WB_LI,AFG,104.7,104.65789000000001,,,
6,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2008,EMR,WB_LI,AFG,127.6,127.604,,,
7,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2009,EMR,WB_LI,AFG,143.8,143.84962,,,
8,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2010,EMR,WB_LI,AFG,132.3,132.27129,,,
9,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2011,EMR,WB_LI,AFG,138.8,138.82262,,,
10,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2012,EMR,WB_LI,AFG,144.0,143.96532,,,
11,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2013,EMR,WB_LI,AFG,164.2,164.16011,,,
12,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2014,EMR,WB_LI,AFG,176.9,176.93086,,,
13,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2015,EMR,WB_LI,AFG,183.9,183.92786,,,
14,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2016,EMR,WB_LI,AFG,174.7,174.73064,,,
15,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2000,AFR,WB_UMI,DZA,282.3,282.31781,,,
16,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2001,AFR,WB_UMI,DZA,322.9,322.94675,,,
17,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2002,AFR,WB_UMI,DZA,332.3,332.33224,,,
18,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2003,AFR,WB_UMI,DZA,346.4,346.37814,,,
19,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2004,AFR,WB_UMI,DZA,360.6,360.582,,,
20,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2005,AFR,WB_UMI,DZA,354.9,354.87323,,,
21,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2006,AFR,WB_UMI,DZA,380.1,380.13638,,,
22,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2007,AFR,WB_UMI,DZA,452.5,452.49033,,,
23,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2008,AFR,WB_UMI,DZA,510.9,510.92255,,,
24,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2009,AFR,WB_UMI,DZA,656.0,655.95099,,,
25,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2010,AFR,WB_UMI,DZA,645.1,645.13428,,,
26,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2011,AFR,WB_UMI,DZA,684.3,684.2653799999999,,,
27,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2012,AFR,WB_UMI,DZA,804.9,804.9317,,,
28,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2013,AFR,WB_UMI,DZA,829.6,829.60565,,,
29,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2014,AFR,WB_UMI,DZA,932.8,932.8230599999999,,,
30,GHED_CHE_pc_PPP_SHA2011,PUBLISHED,2015,AFR,WB_UMI,DZA,1022.9,1022.8900199999999,,,
