,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
0,HWF_0002,PUBLISHED,1997,AFR,AGO,881,881.0,,,
1,HWF_0002,PUBLISHED,2004,AFR,AGO,1165,1165.0,,,
2,HWF_0002,PUBLISHED,2009,AFR,AGO,2956,2956.0,,,
3,HWF_0002,PUBLISHED,2017,AFR,AGO,6400,6400.0,,,
4,HWF_0002,PUBLISHED,2004,AFR,BDI,200,200.0,,,
5,HWF_0002,PUBLISHED,2010,AFR,BDI,418,418.0,,,
6,HWF_0002,PUBLISHED,2011,AFR,BDI,357,357.0,,,
7,HWF_0002,PUBLISHED,2012,AFR,BDI,498,498.0,,,
8,HWF_0002,PUBLISHED,2013,AFR,BDI,554,554.0,,,
9,HWF_0002,PUBLISHED,2014,AFR,BDI,609,609.0,,,
10,HWF_0002,PUBLISHED,2015,AFR,BDI,508,508.0,,,
11,HWF_0002,PUBLISHED,2017,AFR,BDI,1084,1084.0,,,
12,HWF_0002,PUBLISHED,2004,AFR,BEN,311,311.0,,,
13,HWF_0002,PUBLISHED,2008,AFR,BEN,542,542.0,,,
14,HWF_0002,PUBLISHED,2010,AFR,BEN,513,513.0,,,
15,HWF_0002,PUBLISHED,2011,AFR,BEN,546,546.0,,,
16,HWF_0002,PUBLISHED,2012,AFR,BEN,1601,1601.0,,,
17,HWF_0002,PUBLISHED,2013,AFR,BEN,1850,1850.0,,,
18,HWF_0002,PUBLISHED,2016,AFR,BEN,523,523.0,,,
19,HWF_0002,PUBLISHED,2018,AFR,BEN,908,908.0,,,
20,HWF_0002,PUBLISHED,2004,AFR,BFA,708,708.0,,,
21,HWF_0002,PUBLISHED,2008,AFR,BFA,473,473.0,,,
22,HWF_0002,PUBLISHED,2009,AFR,BFA,676,676.0,,,
23,HWF_0002,PUBLISHED,2010,AFR,BFA,713,713.0,,,
24,HWF_0002,PUBLISHED,2011,AFR,BFA,620,620.0,,,
25,HWF_0002,PUBLISHED,2012,AFR,BFA,787,787.0,,,
26,HWF_0002,PUBLISHED,2013,AFR,BFA,803,803.0,,,
27,HWF_0002,PUBLISHED,2014,AFR,BFA,857,857.0,,,
28,HWF_0002,PUBLISHED,2015,AFR,BFA,1189,1189.0,,,
29,HWF_0002,PUBLISHED,2016,AFR,BFA,1202,1202.0,,,
30,HWF_0002,PUBLISHED,2017,AFR,BFA,1626,1626.0,,,
31,HWF_0002,PUBLISHED,1998,AFR,BWA,424,424.0,,,
32,HWF_0002,PUBLISHED,1999,AFR,BWA,507,507.0,,,
33,HWF_0002,PUBLISHED,2000,AFR,BWA,499,499.0,,,
34,HWF_0002,PUBLISHED,2001,AFR,BWA,510,510.0,,,
35,HWF_0002,PUBLISHED,2002,AFR,BWA,536,536.0,,,
36,HWF_0002,PUBLISHED,2003,AFR,BWA,526,526.0,,,
37,HWF_0002,PUBLISHED,2004,AFR,BWA,715,715.0,,,
38,HWF_0002,PUBLISHED,2005,AFR,BWA,466,466.0,,,
39,HWF_0002,PUBLISHED,2006,AFR,BWA,591,591.0,,,
40,HWF_0002,PUBLISHED,2007,AFR,BWA,709,709.0,,,
41,HWF_0002,PUBLISHED,2008,AFR,BWA,716,716.0,,,
42,HWF_0002,PUBLISHED,2009,AFR,BWA,693,693.0,,,
43,HWF_0002,PUBLISHED,2010,AFR,BWA,819,819.0,,,
44,HWF_0002,PUBLISHED,2011,AFR,BWA,819,819.0,,,
45,HWF_0002,PUBLISHED,2012,AFR,BWA,819,819.0,,,
46,HWF_0002,PUBLISHED,2016,AFR,BWA,1138,1138.0,,,
47,HWF_0002,PUBLISHED,2004,AFR,CAF,331,331.0,,,
48,HWF_0002,PUBLISHED,2008,AFR,CAF,173,173.0,,,
49,HWF_0002,PUBLISHED,2009,AFR,CAF,205,205.0,,,
50,HWF_0002,PUBLISHED,2015,AFR,CAF,324,324.0,,,
51,HWF_0002,PUBLISHED,2004,AFR,CIV,2081,2081.0,,,
52,HWF_0002,PUBLISHED,2005,AFR,CIV,1698,1698.0,,,
53,HWF_0002,PUBLISHED,2008,AFR,CIV,2746,2746.0,,,
54,HWF_0002,PUBLISHED,2011,AFR,CIV,3220,3220.0,,,
55,HWF_0002,PUBLISHED,2014,AFR,CIV,5240,5240.0,,,
56,HWF_0002,PUBLISHED,2004,AFR,CMR,3124,3124.0,,,
57,HWF_0002,PUBLISHED,2005,AFR,CMR,1049,1049.0,,,
58,HWF_0002,PUBLISHED,2007,AFR,CMR,1319,1319.0,,,
