,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,IHRSPARCAPACITYLEVEL,Display Value,Numeric,Low,High,Comments
0,IHRSPAR_CAPACITY03,PUBLISHED,2018,EMR,AFG,IHRSPARCAPLEVEL03_C_3_1,80,80.0,,,
1,IHRSPAR_CAPACITY03,PUBLISHED,2018,AFR,AGO,IHRSPARCAPLEVEL03_C_3_1,80,80.0,,,
2,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,ALB,IHRSPARCAPLEVEL03_C_3_1,Other,,,,
3,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,AND,IHRSPARCAPLEVEL03_C_3_1,60,60.0,,,
4,IHRSPAR_CAPACITY03,PUBLISHED,2018,EMR,ARE,IHRSPARCAPLEVEL03_C_3_1,100,100.0,,,
5,IHRSPAR_CAPACITY03,PUBLISHED,2018,AMR,ARG,IHRSPARCAPLEVEL03_C_3_1,60,60.0,,,
6,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,ARM,IHRSPARCAPLEVEL03_C_3_1,100,100.0,,,
7,IHRSPAR_CAPACITY03,PUBLISHED,2018,AMR,ATG,IHRSPARCAPLEVEL03_C_3_1,20,20.0,,,
8,IHRSPAR_CAPACITY03,PUBLISHED,2018,WPR,AUS,IHRSPARCAPLEVEL03_C_3_1,20,20.0,,,
9,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,AUT,IHRSPARCAPLEVEL03_C_3_1,100,100.0,,,
10,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,AZE,IHRSPARCAPLEVEL03_C_3_1,80,80.0,,,
11,IHRSPAR_CAPACITY03,PUBLISHED,2018,AFR,BDI,IHRSPARCAPLEVEL03_C_3_1,20,20.0,,,
12,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,BEL,IHRSPARCAPLEVEL03_C_3_1,100,100.0,,,
13,IHRSPAR_CAPACITY03,PUBLISHED,2018,AFR,BEN,IHRSPARCAPLEVEL03_C_3_1,20,20.0,,,
14,IHRSPAR_CAPACITY03,PUBLISHED,2018,AFR,BFA,IHRSPARCAPLEVEL03_C_3_1,40,40.0,,,
15,IHRSPAR_CAPACITY03,PUBLISHED,2018,SEAR,BGD,IHRSPARCAPLEVEL03_C_3_1,80,80.0,,,
16,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,BGR,IHRSPARCAPLEVEL03_C_3_1,80,80.0,,,
17,IHRSPAR_CAPACITY03,PUBLISHED,2018,EMR,BHR,IHRSPARCAPLEVEL03_C_3_1,100,100.0,,,
18,IHRSPAR_CAPACITY03,PUBLISHED,2018,AMR,BHS,IHRSPARCAPLEVEL03_C_3_1,0,0.0,,,
19,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,BIH,IHRSPARCAPLEVEL03_C_3_1,20,20.0,,,
20,IHRSPAR_CAPACITY03,PUBLISHED,2018,EUR,BLR,IHRSPARCAPLEVEL03_C_3_1,No data,,,,
