,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
0,NCD_CCS_rheumreg,PUBLISHED,2017,EMR,AFG,No,,,,
1,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,ALB,No,,,,
2,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,DZA,Yes,,,,
3,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,AND,No,,,,
4,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,AGO,No,,,,
5,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,ATG,No,,,,
6,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,ARG,No,,,,
7,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,ARM,No,,,,
8,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,AUS,Yes,,,,
9,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,AUT,Don't know,,,,
10,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,AZE,No,,,,
11,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,BHS,No,,,,
12,NCD_CCS_rheumreg,PUBLISHED,2017,EMR,BHR,Yes,,,,
13,NCD_CCS_rheumreg,PUBLISHED,2017,SEAR,BGD,No,,,,
14,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,BRB,No,,,,
15,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,BLR,No,,,,
16,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,BEL,No,,,,
17,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,BLZ,No,,,,
18,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,BEN,No,,,,
19,NCD_CCS_rheumreg,PUBLISHED,2017,SEAR,BTN,No,,,,
20,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,BOL,Don't know,,,,
21,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,BIH,No,,,,
22,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,BWA,No,,,,
23,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,BRA,No,,,,
24,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,BRN,No,,,,
25,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,BGR,Don't know,,,,
26,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,BFA,No,,,,
27,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,BDI,No,,,,
28,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,CPV,Yes,,,,
29,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,KHM,No,,,,
30,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,CMR,No,,,,
31,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,CAN,No,,,,
32,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,CAF,No,,,,
33,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,TCD,No,,,,
34,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,CHL,No,,,,
35,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,CHN,No,,,,
36,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,COL,Don't know,,,,
37,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,COM,No,,,,
38,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,COG,Yes,,,,
39,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,COK,Yes,,,,
40,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,CRI,No,,,,
41,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,HRV,No,,,,
42,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,CUB,Yes,,,,
43,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,CYP,Yes,,,,
44,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,CZE,No,,,,
45,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,CIV,No,,,,
46,NCD_CCS_rheumreg,PUBLISHED,2017,SEAR,PRK,Yes,,,,
47,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,COD,No,,,,
48,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,DNK,Don't know,,,,
49,NCD_CCS_rheumreg,PUBLISHED,2017,EMR,DJI,No,,,,
50,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,DMA,Don't know,,,,
51,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,DOM,Yes,,,,
52,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,ECU,No,,,,
53,NCD_CCS_rheumreg,PUBLISHED,2017,EMR,EGY,No,,,,
54,NCD_CCS_rheumreg,PUBLISHED,2017,AMR,SLV,No,,,,
55,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,GNQ,Don't know,,,,
56,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,ERI,Yes,,,,
57,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,EST,Yes,,,,
58,NCD_CCS_rheumreg,PUBLISHED,2017,AFR,ETH,No,,,,
59,NCD_CCS_rheumreg,PUBLISHED,2017,WPR,FJI,Yes,,,,
60,NCD_CCS_rheumreg,PUBLISHED,2017,EUR,FIN,No,,,,
