,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
0,SA_0000001807,PUBLISHED,2016,AFR,ZAF,FMLE,143.8,,,,
1,SA_0000001807,PUBLISHED,2016,AFR,ZWE,FMLE,146.8,,,,
2,SA_0000001807,PUBLISHED,2016,AFR,AGO,MLE,112.5,,,,
3,SA_0000001807,PUBLISHED,2016,AFR,CAF,MLE,141.4,,,,
4,SA_0000001807,PUBLISHED,2016,AFR,ERI,MLE,109.3,,,,
5,SA_0000001807,PUBLISHED,2016,AFR,MWI,MLE,238.7,,,,
6,SA_0000001807,PUBLISHED,2016,AFR,NGA,MLE,146.3,,,,
7,SA_0000001807,PUBLISHED,2016,AFR,SSD,MLE,190.1,,,,
8,SA_0000001807,PUBLISHED,2016,AFR,CMR,FMLE,116.7,,,,
9,SA_0000001807,PUBLISHED,2016,AFR,GNQ,FMLE,105.9,,,,
10,SA_0000001807,PUBLISHED,2016,AFR,GNB,FMLE,116.4,,,,
11,SA_0000001807,PUBLISHED,2016,AFR,NER,FMLE,77.5,,,,
12,SA_0000001807,PUBLISHED,2016,AFR,ZMB,MLE,178.5,,,,
13,SA_0000001807,PUBLISHED,2016,AFR,MOZ,MLE,210.5,,,,
14,SA_0000001807,PUBLISHED,2016,AFR,MRT,MLE,99.5,,,,
15,SA_0000001807,PUBLISHED,2016,AFR,COD,MLE,160.8,,,,
16,SA_0000001807,PUBLISHED,2016,AFR,COG,MLE,112.8,,,,
17,SA_0000001807,PUBLISHED,2016,AFR,SEN,FMLE,98.8,,,,
18,SA_0000001807,PUBLISHED,2016,AFR,DZA,FMLE,97.3,,,,
19,SA_0000001807,PUBLISHED,2016,AFR,BEN,FMLE,94.5,,,,
20,SA_0000001807,PUBLISHED,2016,AFR,GAB,FMLE,75.1,,,,
21,SA_0000001807,PUBLISHED,2016,AFR,GHA,FMLE,96.1,,,,
22,SA_0000001807,PUBLISHED,2016,AFR,RWA,FMLE,171.4,,,,
23,SA_0000001807,PUBLISHED,2016,AFR,CAF,FMLE,127.2,,,,
24,SA_0000001807,PUBLISHED,2016,AFR,TCD,FMLE,115.4,,,,
25,SA_0000001807,PUBLISHED,2016,AFR,CIV,FMLE,129.7,,,,
26,SA_0000001807,PUBLISHED,2016,AFR,MWI,FMLE,179.1,,,,
27,SA_0000001807,PUBLISHED,2016,AFR,MLI,FMLE,144.5,,,,
28,SA_0000001807,PUBLISHED,2016,AFR,TZA,FMLE,136.6,,,,
29,SA_0000001807,PUBLISHED,2016,AFR,ZMB,FMLE,157.1,,,,
30,SA_0000001807,PUBLISHED,2016,AFR,BEN,MLE,94.2,,,,
31,SA_0000001807,PUBLISHED,2016,AFR,BWA,MLE,138.5,,,,
32,SA_0000001807,PUBLISHED,2016,AFR,GIN,MLE,143.8,,,,
33,SA_0000001807,PUBLISHED,2016,AFR,GNB,MLE,137.4,,,,
34,SA_0000001807,PUBLISHED,2016,AFR,STP,MLE,185.1,,,,
35,SA_0000001807,PUBLISHED,2016,AFR,SLE,MLE,113.8,,,,
36,SA_0000001807,PUBLISHED,2016,AFR,ZAF,MLE,223,,,,
37,SA_0000001807,PUBLISHED,2016,AFR,DZA,MLE,100.7,,,,
38,SA_0000001807,PUBLISHED,2016,AFR,CMR,MLE,122.9,,,,
