,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
0,SDGIHR,PUBLISHED,2017,WPR,LAO,No data,,,,Data were submitted in a format that could not be included in the analysis
1,SDGIHR,PUBLISHED,2017,AMR,JAM,No data,,,,Data were submitted in a format that could not be included in the analysis
2,SDGIHR,PUBLISHED,2017,AFR,DZA,75,75.28671999999999,,,
3,SDGIHR,PUBLISHED,2017,AFR,AGO,75,75.23131,,,
4,SDGIHR,PUBLISHED,2017,AFR,BEN,30,30.311629999999997,,,
5,SDGIHR,PUBLISHED,2017,AFR,BWA,42,42.083490000000005,,,
6,SDGIHR,PUBLISHED,2017,AFR,BFA,45,44.73519,,,
7,SDGIHR,PUBLISHED,2017,AFR,BDI,25,24.898429999999998,,,
8,SDGIHR,PUBLISHED,2017,AFR,CMR,57,57.35698000000001,,,
9,SDGIHR,PUBLISHED,2017,AFR,CPV,65,64.51923000000001,,,
10,SDGIHR,PUBLISHED,2017,AFR,CAF,27,26.88327,,,
11,SDGIHR,PUBLISHED,2017,AFR,TCD,44,44.47054,,,
12,SDGIHR,PUBLISHED,2017,AFR,COM,37,37.36737,,,
13,SDGIHR,PUBLISHED,2017,AFR,COG,31,30.723309999999998,,,
14,SDGIHR,PUBLISHED,2017,AFR,CIV,87,86.59348,,,
15,SDGIHR,PUBLISHED,2017,AFR,COD,65,65.21345,,,
16,SDGIHR,PUBLISHED,2017,AFR,GNQ,27,26.82054,,,
17,SDGIHR,PUBLISHED,2017,AFR,ERI,49,49.280159999999995,,,
18,SDGIHR,PUBLISHED,2017,AFR,ETH,79,79.11332,,,
19,SDGIHR,PUBLISHED,2017,AFR,GAB,52,51.680620000000005,,,
20,SDGIHR,PUBLISHED,2017,AFR,GMB,27,27.169590000000003,,,
21,SDGIHR,PUBLISHED,2017,AFR,GHA,74,73.70528,,,
22,SDGIHR,PUBLISHED,2017,AFR,GNB,53,53.4374,,,
23,SDGIHR,PUBLISHED,2017,AFR,GIN,59,59.480909999999994,,,
24,SDGIHR,PUBLISHED,2017,AFR,KEN,58,57.701730000000005,,,
25,SDGIHR,PUBLISHED,2017,AFR,LSO,62,62.03581,,,
26,SDGIHR,PUBLISHED,2017,AFR,LBR,76,75.60322,,,
27,SDGIHR,PUBLISHED,2017,AFR,MDG,43,42.63219,,,
28,SDGIHR,PUBLISHED,2017,AFR,MWI,56,56.13057,,,
29,SDGIHR,PUBLISHED,2017,AFR,MLI,40,40.15007,,,
30,SDGIHR,PUBLISHED,2017,AFR,MRT,32,31.59345,,,
31,SDGIHR,PUBLISHED,2017,AFR,MUS,71,70.73044,,,
32,SDGIHR,PUBLISHED,2017,AFR,MOZ,69,68.90454,,,
33,SDGIHR,PUBLISHED,2017,AFR,NAM,79,78.52735,,,
34,SDGIHR,PUBLISHED,2017,AFR,NER,74,73.55179,,,
35,SDGIHR,PUBLISHED,2017,AFR,NGA,51,50.609970000000004,,,
36,SDGIHR,PUBLISHED,2017,AFR,RWA,66,66.05677,,,
37,SDGIHR,PUBLISHED,2017,AFR,STP,16,15.91339,,,
38,SDGIHR,PUBLISHED,2017,AFR,SEN,44,44.36037,,,
39,SDGIHR,PUBLISHED,2017,AFR,SYC,87,86.89439,,,
40,SDGIHR,PUBLISHED,2017,AFR,SLE,70,69.55711,,,
41,SDGIHR,PUBLISHED,2017,AFR,ZAF,91,90.58858000000001,,,
42,SDGIHR,PUBLISHED,2017,AFR,SSD,34,34.39963,,,
43,SDGIHR,PUBLISHED,2017,AFR,SWZ,75,74.6404,,,
44,SDGIHR,PUBLISHED,2017,AFR,TZA,69,69.14708,,,
45,SDGIHR,PUBLISHED,2017,AFR,TGO,64,64.3992,,,
46,SDGIHR,PUBLISHED,2017,AFR,UGA,58,58.395559999999996,,,
47,SDGIHR,PUBLISHED,2017,AFR,ZMB,64,63.72115,,,
48,SDGIHR,PUBLISHED,2017,AFR,ZWE,72,72.26451,,,
49,SDGIHR,PUBLISHED,2017,AMR,ATG,71,70.7879,,,
50,SDGIHR,PUBLISHED,2017,AMR,ARG,70,70.22102,,,
51,SDGIHR,PUBLISHED,2017,AMR,BHS,78,77.78353,,,
52,SDGIHR,PUBLISHED,2017,AMR,BRB,92,91.94527,,,
53,SDGIHR,PUBLISHED,2017,AMR,BOL,76,76.38551,,,
54,SDGIHR,PUBLISHED,2017,AMR,BRA,96,96.141,,,
55,SDGIHR,PUBLISHED,2017,AMR,CAN,100,100.0,,,
56,SDGIHR,PUBLISHED,2017,AMR,CHL,84,83.64106,,,
57,SDGIHR,PUBLISHED,2017,AMR,COL,88,88.15664,,,
58,SDGIHR,PUBLISHED,2017,AMR,CRI,87,87.15872,,,
59,SDGIHR,PUBLISHED,2017,AMR,CUB,99,99.3007,,,
60,SDGIHR,PUBLISHED,2017,AMR,DMA,62,61.65546,,,
61,SDGIHR,PUBLISHED,2017,AMR,DOM,55,54.899809999999995,,,
62,SDGIHR,PUBLISHED,2017,AMR,SLV,93,92.51556,,,
63,SDGIHR,PUBLISHED,2017,AMR,ECU,81,80.9791,,,
64,SDGIHR,PUBLISHED,2017,AMR,GUY,89,88.61395,,,
