,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,Display Value,Numeric,Low,High,Comments
0,carep,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,WQ1,,52.8 [45.1-60.4],52.82966999999999,45.124790000000004,60.40206,
1,carep,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,WQ1,,45.2 [38.0-52.6],45.181259999999995,37.98072,52.58936,
2,carep,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,WQ3,,66.3 [61.0-71.1],66.26585,61.0088,71.14929000000001,
3,carep,EQ_DHS,PUBLISHED,2008,EUR,ALB,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
4,carep,EQ_MICS,PUBLISHED,2005,EUR,ALB,,,,WQ2,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
5,carep,EQ_RHS,PUBLISHED,2002,EUR,ALB,,,,WQ4,,No data,,,,Not available.
6,carep,EQ_MICS,PUBLISHED,2012,AFR,DZA,,,,WQ1,,60.1 [50.8-68.7],60.061969999999995,50.7608,68.6899,
7,carep,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,WQ1,,32.5 [20.9-46.8],32.519909999999996,20.88334,46.804629999999996,
8,carep,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,WQ3,,55.4 [44.7-65.6],55.37888,44.7008,65.58263000000001,
9,carep,EQ_DHS,PUBLISHED,2015,AFR,AGO,,,,WQ5,,84.8 [66.3-94.1],84.80949,66.30793,94.06113,Attention - Estimate is based on 25-49 cases.
10,carep,EQ_MICS,PUBLISHED,2011,AMR,ARG,,,,WQ5,,97.0 [90.2-99.1],96.99677,90.19913000000001,99.12545,
11,carep,EQ_DHS,PUBLISHED,2015,EUR,ARM,,,,WQ2,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
12,carep,EQ_DHS,PUBLISHED,2010,EUR,ARM,,,,WQ4,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
13,carep,EQ_DHS,PUBLISHED,2005,EUR,ARM,,,,WQ1,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
14,carep,EQ_DHS,PUBLISHED,2000,EUR,ARM,,,,WQ1,,No data,,,,Not available.
15,carep,EQ_DHS,PUBLISHED,2000,EUR,ARM,,,,WQ3,,No data,,,,Not available.
16,carep,EQ_DHS,PUBLISHED,2000,EUR,ARM,,,,WQ5,,No data,,,,Not available.
17,carep,EQ_DHS,PUBLISHED,2006,EUR,AZE,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
18,carep,EQ_DHS,PUBLISHED,2014,SEAR,BGD,,,,WQ2,,45.4 [33.1-58.4],45.44275,33.07033,58.404759999999996,
19,carep,EQ_MICS,PUBLISHED,2012,SEAR,BGD,,,,WQ4,,37.9 [24.6-53.3],37.91114,24.602629999999998,53.326969999999996,
20,carep,EQ_DHS,PUBLISHED,2011,SEAR,BGD,,,,WQ1,,24.7 [18.0-32.8],24.673370000000002,18.008670000000002,32.81734,
21,carep,EQ_DHS,PUBLISHED,2007,SEAR,BGD,,,,WQ1,,23.0 [13.6-36.3],23.03499,13.562629999999999,36.34153,
22,carep,EQ_DHS,PUBLISHED,2007,SEAR,BGD,,,,WQ3,,38.4 [22.9-56.6],38.37295,22.921860000000002,56.592209999999994,Attention - Estimate is based on 25-49 cases.
23,carep,EQ_DHS,PUBLISHED,2007,SEAR,BGD,,,,WQ5,,70.6 [51.0-84.7],70.62462,51.01236,84.73470999999999,Attention - Estimate is based on 25-49 cases.
24,carep,EQ_MICS,PUBLISHED,2006,SEAR,BGD,,,,WQ5,,55.6 [46.5-64.2],55.5603,46.53497,64.23309,
25,carep,EQ_DHS,PUBLISHED,2004,SEAR,BGD,,,,WQ2,,No data,,,,Not available.
26,carep,EQ_DHS,PUBLISHED,1999,SEAR,BGD,,,,WQ4,,No data,,,,Not available.
27,carep,EQ_DHS,PUBLISHED,1996,SEAR,BGD,,,,WQ1,,No data,,,,Not available.
28,carep,EQ_DHS,PUBLISHED,1993,SEAR,BGD,,,,WQ3,,No data,,,,Not available.
29,carep,EQ_DHS,PUBLISHED,1993,SEAR,BGD,,,,WQ5,,No data,,,,Not available.
30,carep,EQ_MICS,PUBLISHED,2012,AMR,BRB,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
31,carep,EQ_MICS,PUBLISHED,2012,EUR,BLR,,,,WQ2,,95.0 [84.7-98.5],95.01768,84.7104,98.49953000000001,Attention - Estimate is based on 25-49 cases.
32,carep,EQ_MICS,PUBLISHED,2005,EUR,BLR,,,,WQ4,,92.8 [83.8-97.0],92.81572,83.75888,97.00275,
33,carep,EQ_MICS,PUBLISHED,2015,AMR,BLZ,,,,WQ1,,60.5 [35.7-80.9],60.50309,35.67853,80.88088,Attention - Estimate is based on 25-49 cases.
34,carep,EQ_MICS,PUBLISHED,2011,AMR,BLZ,,,,WQ3,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
35,carep,EQ_MICS,PUBLISHED,2011,AMR,BLZ,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
36,carep,EQ_MICS,PUBLISHED,2006,AMR,BLZ,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
37,carep,EQ_RHS,PUBLISHED,1991,AMR,BLZ,,,,WQ2,,No data,,,,Not available.
38,carep,EQ_MICS,PUBLISHED,2014,AFR,BEN,,,,WQ4,,21.9 [12.9-34.8],21.9266,12.86363,34.82302,
39,carep,EQ_DHS,PUBLISHED,2011,AFR,BEN,,,,WQ1,,20.0 [9.5-37.2],19.96903,9.51405,37.19088,Attention - Estimate is based on 25-49 cases.
40,carep,EQ_DHS,PUBLISHED,2006,AFR,BEN,,,,WQ3,,No data,,,,Not available.
41,carep,EQ_DHS,PUBLISHED,2006,AFR,BEN,,,,WQ5,,No data,,,,Not available.
42,carep,EQ_DHS,PUBLISHED,2001,AFR,BEN,,,,WQ5,,No data,,,,Not available.
43,carep,EQ_DHS,PUBLISHED,1996,AFR,BEN,,,,WQ2,,No data,,,,Not available.
44,carep,EQ_MICS,PUBLISHED,2010,SEAR,BTN,,,,WQ4,,76.5 [59.7-87.7],76.50304,59.73248,87.72443,
45,carep,EQ_DHS,PUBLISHED,2008,AMR,BOL,,,,WQ1,,No data,,,,Not available.
46,carep,EQ_DHS,PUBLISHED,2003,AMR,BOL,,,,WQ3,,No data,,,,Not available.
47,carep,EQ_DHS,PUBLISHED,2003,AMR,BOL,,,,WQ5,,No data,,,,Not available.
48,carep,EQ_DHS,PUBLISHED,1998,AMR,BOL,,,,WQ5,,No data,,,,Not available.
49,carep,EQ_DHS,PUBLISHED,1994,AMR,BOL,,,,WQ2,,No data,,,,Not available.
50,carep,EQ_MICS,PUBLISHED,2011,EUR,BIH,,,,WQ4,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
51,carep,EQ_MICS,PUBLISHED,2006,EUR,BIH,,,,WQ1,,96.8 [81.6-99.5],96.77419,81.6242,99.50887,Attention - Estimate is based on 25-49 cases.
52,carep,EQ_DHS,PUBLISHED,1996,AMR,BRA,,,,WQ3,,No data,,,,Not available.
53,carep,EQ_DHS,PUBLISHED,1996,AMR,BRA,,,,WQ5,,No data,,,,Not available.
54,carep,EQ_DHS,PUBLISHED,2010,AFR,BFA,,,,WQ5,,70.0 [57.5-80.1],69.98525,57.525059999999996,80.05739,
55,carep,EQ_MICS,PUBLISHED,2006,AFR,BFA,,,,WQ2,,34.7 [21.6-50.6],34.68988,21.56596,50.64356,Attention - Estimate is based on 25-49 cases.
56,carep,EQ_DHS,PUBLISHED,2003,AFR,BFA,,,,WQ4,,No data,,,,Not available.
57,carep,EQ_DHS,PUBLISHED,1998,AFR,BFA,,,,WQ1,,No data,,,,Not available.
58,carep,EQ_DHS,PUBLISHED,2016,AFR,BDI,,,,WQ3,,54.4 [45.6-62.9],54.40833000000001,45.6269,62.92396,
59,carep,EQ_DHS,PUBLISHED,2016,AFR,BDI,,,,WQ5,,60.1 [49.8-69.6],60.09953,49.78423,69.59019,
60,carep,EQ_DHS,PUBLISHED,2010,AFR,BDI,,,,WQ5,,57.8 [49.4-65.7],57.774440000000006,49.40613,65.71901,
61,carep,EQ_MICS,PUBLISHED,2005,AFR,BDI,,,,WQ2,,35.8 [29.1-43.1],35.76719,29.07062,43.06967,
62,carep,EQ_RHS,PUBLISHED,1998,AFR,CPV,,,,WQ4,,No data,,,,Not available.
63,carep,EQ_DHS,PUBLISHED,2014,WPR,KHM,,,,WQ1,,67.9 [53.3-79.7],67.90624,53.261630000000004,79.71025,
64,carep,EQ_DHS,PUBLISHED,2010,WPR,KHM,,,,WQ3,,74.7 [60.6-85.0],74.72063,60.645869999999995,85.00616,
65,carep,EQ_DHS,PUBLISHED,2010,WPR,KHM,,,,WQ5,,65.2 [50.2-77.7],65.23181,50.20641,77.73401,
66,carep,EQ_DHS,PUBLISHED,2005,WPR,KHM,,,,WQ5,,79.8 [62.0-90.5],79.78601,61.95701,90.53575,Attention - Estimate is based on 25-49 cases.
67,carep,EQ_DHS,PUBLISHED,2000,WPR,KHM,,,,WQ2,,No data,,,,Not available.
68,carep,EQ_MICS,PUBLISHED,2014,AFR,CMR,,,,WQ4,,30.9 [17.7-48.1],30.90308,17.728920000000002,48.138709999999996,
69,carep,EQ_DHS,PUBLISHED,2011,AFR,CMR,,,,WQ1,,9.3 [5.2-16.2],9.30002,5.15872,16.19805,
70,carep,EQ_MICS,PUBLISHED,2006,AFR,CMR,,,,WQ3,,42.9 [32.4-54.1],42.87426,32.36452,54.068580000000004,
71,carep,EQ_MICS,PUBLISHED,2006,AFR,CMR,,,,WQ5,,50.0 [33.5-66.5],49.99584,33.48883,66.50375,
72,carep,EQ_DHS,PUBLISHED,2004,AFR,CMR,,,,WQ5,,No data,,,,Not available.
73,carep,EQ_DHS,PUBLISHED,1998,AFR,CMR,,,,WQ2,,No data,,,,Not available.
74,carep,EQ_DHS,PUBLISHED,1998,AFR,CMR,,,,WQ4,,No data,,,,Not available.
75,carep,EQ_MICS,PUBLISHED,2010,AFR,CAF,,,,WQ4,,39.7 [30.0-50.4],39.71119,29.95228,50.36359,
76,carep,EQ_MICS,PUBLISHED,2006,AFR,CAF,,,,WQ1,,24.3 [16.4-34.4],24.33352,16.44674,34.44323,
77,carep,EQ_DHS,PUBLISHED,1994,AFR,CAF,,,,WQ3,,No data,,,,Not available.
78,carep,EQ_DHS,PUBLISHED,1994,AFR,CAF,,,,WQ5,,No data,,,,Not available.
79,carep,EQ_DHS,PUBLISHED,2014,AFR,TCD,,,,WQ5,,44.3 [36.2-52.8],44.31543,36.15807,52.791340000000005,
80,carep,EQ_MICS,PUBLISHED,2010,AFR,TCD,,,,WQ2,,16.6 [10.9-24.4],16.58803,10.91713,24.3979,
81,carep,EQ_MICS,PUBLISHED,2010,AFR,TCD,,,,WQ4,,31.3 [24.9-38.6],31.3423,24.89688,38.59878,
82,carep,EQ_DHS,PUBLISHED,2004,AFR,TCD,,,,WQ4,,No data,,,,Not available.
83,carep,EQ_DHS,PUBLISHED,1996,AFR,TCD,,,,WQ1,,No data,,,,Not available.
84,carep,EQ_DHS,PUBLISHED,2015,AMR,COL,,,,WQ3,,No data,,,,Not available.
85,carep,EQ_DHS,PUBLISHED,2015,AMR,COL,,,,WQ5,,No data,,,,Not available.
86,carep,EQ_DHS,PUBLISHED,2005,AMR,COL,,,,WQ2,,No data,,,,Not available.
87,carep,EQ_DHS,PUBLISHED,2005,AMR,COL,,,,WQ4,,No data,,,,Not available.
88,carep,EQ_DHS,PUBLISHED,2000,AMR,COL,,,,WQ4,,No data,,,,Not available.
89,carep,EQ_DHS,PUBLISHED,1995,AMR,COL,,,,WQ1,,No data,,,,Not available.
90,carep,EQ_DHS,PUBLISHED,2012,AFR,COM,,,,WQ3,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
91,carep,EQ_DHS,PUBLISHED,2012,AFR,COM,,,,WQ5,,No data,,,,Not reported - Estimate is based on fewer than 25 cases.
92,carep,EQ_MICS,PUBLISHED,2014,AFR,COG,,,,WQ2,,20.1 [12.7-30.2],20.073,12.737,30.17326,
93,carep,EQ_MICS,PUBLISHED,2014,AFR,COG,,,,WQ4,,43.6 [24.7-64.6],43.61557,24.70535,64.58464000000001,Attention - Estimate is based on 25-49 cases.
