,GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,Display Value,Numeric,Low,High,Comments
0,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,WQ1,,No data,,,,Not calculated.
1,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,WQ2,,No data,,,,Not calculated.
2,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,WQ3,,No data,,,,Not calculated.
3,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,WQ4,,No data,,,,Not calculated.
4,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,WQ5,,No data,,,,Not calculated.
5,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,NHLM,,,,No data,,,,Not calculated.
6,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,PRLM,,,,No data,,,,Not calculated.
7,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,SHLM,,,,No data,,,,Not calculated.
8,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,RUR,,,No data,,,,Not calculated.
9,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,URB,,,No data,,,,Not calculated.
10,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201001,No data,,,,Not calculated.
11,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201002,No data,,,,Not calculated.
12,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201003,No data,,,,Not calculated.
13,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201004,No data,,,,Not calculated.
14,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201005,No data,,,,Not calculated.
15,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201006,No data,,,,Not calculated.
16,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201007,No data,,,,Not calculated.
17,cci,EQ_MICS,PUBLISHED,2010,EMR,AFG,,,,AFGMICS201008,No data,,,,Not calculated.
18,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201516,9.4,9.40188,,,
19,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201524,24.7,24.70438,,,
20,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201515,31.8,31.82822,,,
21,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201525,31.9,31.91178,,,
22,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201523,32.3,32.34919,,,
23,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201520,35.3,35.27237,,,
24,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201509,36.2,36.1722,,,
25,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201527,37.9,37.859320000000004,,,
26,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,WQ1,,39.5,39.48448,,,
27,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201511,41.0,40.98599,,,
28,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201518,42.0,42.01517,,,
29,cci,EQ_DHS,PUBLISHED,2015,EMR,AFG,,,,AFGDHS201533,42.7,42.71402,,,
