date,Cases,Deaths
31/12/2019,27,0
1/01/2020,27,0
2/01/2020,27,0
3/01/2020,44,0
4/01/2020,44,0
5/01/2020,59,0
6/01/2020,59,0
7/01/2020,59,0
8/01/2020,59,0
9/01/2020,59,0
10/01/2020,59,0
11/01/2020,59,1
12/01/2020,59,1
13/01/2020,60,1
14/01/2020,60,1
15/01/2020,61,2
16/01/2020,61,2
17/01/2020,66,2
18/01/2020,83,2
19/01/2020,219,3
20/01/2020,239,3
21/01/2020,392,6
22/01/2020,534,17
23/01/2020,631,17
24/01/2020,897,26
25/01/2020,1350,41
26/01/2020,2023,56
27/01/2020,2820,81
28/01/2020,4587,106
29/01/2020,6067,132
30/01/2020,7823,170
31/01/2020,9826,213
1/02/2020,11946,259
2/02/2020,14554,305
3/02/2020,17372,362
4/02/2020,20615,427
5/02/2020,24522,493
6/02/2020,28273,565
7/02/2020,31491,638
8/02/2020,34933,724
9/02/2020,37552,813
10/02/2020,40540,910
11/02/2020,43105,1018
12/02/2020,45177,1115
13/02/2020,60328,1370
14/02/2020,64543,1383
15/02/2020,67103,1527
16/02/2020,69265,1669
17/02/2020,71332,1775
18/02/2020,73327,1873
19/02/2020,75191,2012
20/02/2020,75723,2128
21/02/2020,76719,2247
22/02/2020,77804,2359
23/02/2020,78812,2463
24/02/2020,79339,2619
25/02/2020,80132,2698
26/02/2020,80997,2762
27/02/2020,82106,2800
28/02/2020,83375,2857
29/02/2020,85223,2921
1/03/2020,87042,2979
2/03/2020,89121,3046
3/03/2020,90943,3118
4/03/2020,93193,3202
5/03/2020,95464,3282
6/03/2020,98442,3384
7/03/2020,102524,3488
8/03/2020,106488,3585
9/03/2020,110633,3813
10/03/2020,115331,4021
11/03/2020,120250,4293
12/03/2020,127785,4619
13/03/2020,136806,4968
14/03/2020,146675,5407
15/03/2020,158808,5768
16/03/2020,171165,6514
17/03/2020,184905,7112
18/03/2020,201363,7912
19/03/2020,221172,8854
20/03/2020,251542,9897
21/03/2020,282895,11266
22/03/2020,316942,12966
23/03/2020,350942,14607
24/03/2020,393837,16387
25/03/2020,434723,18651
26/03/2020,486947,21224
27/03/2020,547297,23973
28/03/2020,611632,27395
29/03/2020,674897,30888
30/03/2020,732707,34017
31/03/2020,796268,37911
1/04/2020,868867,42540
2/04/2020,945624,47447
3/04/2020,1022366,52403
4/04/2020,1103314,59034
5/04/2020,1188306,65179
6/04/2020,1257241,69854
7/04/2020,1329576,75120
8/04/2020,1404566,82783
9/04/2020,1489045,89219
10/04/2020,1574850,96664
11/04/2020,1664170,103885
12/04/2020,1744940,109911
13/04/2020,1816194,115177
14/04/2020,1882211,120548
15/04/2020,1958813,128152
16/04/2020,2038561,138672
17/04/2020,2121523,147381
18/04/2020,2203417,155949
19/04/2020,2283158,162442
20/04/2020,2355301,167478
21/04/2020,2431261,172814
22/04/2020,2516991,180098
23/04/2020,2583279,186201
24/04/2020,2660713,193645
25/04/2020,2734478,199077
26/04/2020,2835026,205323
27/04/2020,2918082,209251
28/04/2020,2983864,214141
29/04/2020,3055429,220659
30/04/2020,3133235,227330
1/05/2020,3217821,232864
2/05/2020,3309563,238704
3/05/2020,3390732,243469
4/05/2020,3469241,247155
5/05/2020,3546401,251154
6/05/2020,3625588,257103
7/05/2020,3715414,263489
8/05/2020,3809599,269235
9/05/2020,3899738,274501
10/05/2020,3989894,278941
11/05/2020,4066883,282351
12/05/2020,4137915,285921
13/05/2020,4223701,291697
14/05/2020,4309652,296884
15/05/2020,4406317,302254
16/05/2020,4504351,307425
17/05/2020,4598546,311693
18/05/2020,4679764,314666
19/05/2020,4766899,317928
20/05/2020,4861974,323156
21/05/2020,4961457,327956
22/05/2020,5067579,333399
,,338039
